index;Rodada;Gol;Minuto;Jogador;Jogador ASS;Time;Adversario;Regiao;Regiao ASS;Saldo Placar;Em Casa;Tipo de Jogada;Tipo de chute;Drible antes chute;Passe Profundo;Cruzamento/Cruz. rasteiro;Contra ataque;Erro da zaga;Chance boa;Chute Perigoso;
51;4;0;15;Philippe Coutinho;Gabriel Jesus;Brasil;Venezuela;17;17;1;0;Coletiva;P;0;0;0;0;0;0;0;
52;4;0;25;Gabriel Jesus;Philippe Coutinho;Brasil;Venezuela;12;21;1;0;Escanteio;C;0;0;1;0;0;0;0;
53;4;0;32;Paulinho;Gabriel Jesus;Brasil;Venezuela;12;19;1;0;Coletiva;P;0;0;0;1;1;1;0;
54;4;0;34;Philippe Coutinho;-;Brasil;Venezuela;25;0;1;0;Individual;P;0;0;0;0;0;0;0;
55;4;0;41;Rondon;-;Venezuela;Brasil;12;21;-1;1;Escanteio;C;0;0;0;0;0;0;0;
56;4;0;48;Gabriel Jesus;Filipe Luis;Brasil;Venezuela;12;21;1;0;Coletiva;P;0;0;1;0;0;0;0;
57;4;1;52;Willian;Renato Augusto;Brasil;Venezuela;4;21;1;0;Coletiva;P;0;0;1;0;0;1;1;
58;4;0;60;Rondon;-;Venezuela;Brasil;14;9;-2;1;Coletiva;P;0;0;0;0;0;0;0;
59;4;0;61;Rondon;-;Venezuela;Brasil;7;26;-2;1;Coletiva;C;0;0;1;0;0;0;0;
60;4;0;62;Gabriel Jesus;Philippe Coutinho;Brasil;Venezuela;13;11;2;1;Coletiva;P;0;0;1;1;0;1;1;
61;4;0;66;Martinez;-;Venezuela;Brasil;26;0;-2;1;Individual;P;0;0;0;0;0;0;0;
62;4;0;68;Paulinho;Daniel Alves;Brasil;Venezuela;14;22;2;0;Coletiva;P;0;0;1;0;0;0;0;
63;4;0;69;Guerra;-;Venezuela;Brasil;4;23;-2;1;Coletiva;P;0;0;1;0;0;0;0;
64;4;0;83;Paulinho;-;Brasil;Venezuela;18;18;2;0;Coletiva;P;0;0;0;0;0;0;0;
65;4;0;87;Rondon;-;Venezuela;Brasil;7;22;-2;1;Coletiva;C;0;0;1;0;0;0;0;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
